epoch,step,trainLoss
16,49,1.2362515926361084
33,99,0.6082371473312378
49,149,0.11684146523475647
66,199,0.08222156018018723
83,249,0.010226309299468994
99,299,0.0060686515644192696
116,349,0.050566237419843674
133,399,0.006363053806126118
149,449,0.004009224008768797
166,499,0.06567205488681793
183,549,0.012213418260216713
199,599,0.0035961417015641928
216,649,0.07838823646306992
233,699,0.004943125881254673
249,749,0.002314917976036668
266,799,0.03965039551258087
283,849,0.006565430201590061
299,899,0.0017009037546813488
316,949,0.04397237300872803
333,999,0.01727084442973137
349,1049,0.002308526076376438
366,1099,0.0643453299999237
383,1149,0.003322448581457138
399,1199,0.0019159982912242413
416,1249,0.025838231667876244
433,1299,0.005117472726851702
449,1349,0.001388022443279624
466,1399,0.03506552800536156
483,1449,0.019184861332178116
499,1499,0.0015535486163571477
516,1549,0.0640745609998703
533,1599,0.0031806931365281343
549,1649,0.001765758148394525
566,1699,0.022157233208417892
583,1749,0.0034788779448717833
599,1799,0.001075869775377214
616,1849,0.0318831130862236
633,1899,0.015683278441429138
649,1949,0.001557622686959803
666,1999,0.06536832451820374
683,2049,0.003076505148783326
699,2099,0.002396719064563513
716,2149,0.021252501755952835
733,2199,0.0032711136154830456
749,2249,0.001052212086506188
766,2299,0.029139066115021706
783,2349,0.00946548767387867
799,2399,0.0015855845995247364
816,2449,0.06712332367897034
833,2499,0.003383514704182744
849,2549,0.0027377628721296787
866,2599,0.016456902027130127
883,2649,0.004778723232448101
899,2699,0.000543748727068305
